StationCode,Latitude,Longitude
101,37.5720164,127.0050075
102,37.5642629,126.9746757
103,37.54003270000001,127.00485
104,37.6098232,126.9348476
105,37.5937421,126.9496787
106,37.5555803,126.9055975
107,37.541864200000006,127.0496589
108,37.5471803,127.0924929
109,37.57574279999999,127.0288848
110,37.5848485,127.0940229
111,37.6067189,127.0272794
112,37.6479299,127.0119518
113,37.6541919,127.0290879
114,37.6587743,127.0685054
115,37.5259388,126.8566029
116,37.54464,126.8351506
117,37.498498100000006,126.88969240000002
118,37.4523569,126.9082956
119,37.5250065,126.8973705
120,37.4809167,126.9714807
121,37.4873546,126.927102
122,37.5045471,126.9944578
123,37.5175282,127.0474699
124,37.5026857,127.0925092
125,37.5449625,127.13679170000002
